review_id,feature,shopping_stage,pain_point,exploration_barrier,user_need,discovery_method,category_mentioned,sentiment,severity,exploration_banner
1910,Categories,Discovery,Favorite restaurants are not listed.,Lack of Awareness,List favorite restaurants.,Categories,Unknown,Negative,Medium,
1920,Checkout,Checkout,Refunds take months to process.,Trust,Immediate refunds for out of stock items.,Unknown,Electronics,Negative,High,
1924,Delivery,Delivery,Delivery guys did not follow elevator instructions.,App Experience,Better delivery handling.,Unknown,Household Essentials,Negative,Medium,
1928,Search,Searching,Products not available in local city.,Lack of Awareness,Better product availability.,Search,Pet Care,Negative,Medium,
2010,Delivery,Delivery,Delivery drivers are risking their lives.,Unknown,Safer working conditions for drivers.,Unknown,Unknown,Negative,High,
2011,Delivery,Delivery,Drivers are almost 24/7 on the road.,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
2060,General Experience,Browsing,Have no use for the product.,No Need,Unknown,Unknown,Electronics,Neutral,Low,
2061,General Experience,Browsing,Too grown up to use it.,Habit,Unknown,Unknown,Electronics,Neutral,Low,
2062,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Electronics,Positive,Low,
2063,General Experience,Browsing,No time to play video games.,No Need,More free time.,Unknown,Electronics,Negative,Low,
2064,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Electronics,Positive,Low,
2065,General Experience,Browsing,Waiting for someone to play with.,No Need,Co-op gaming options.,Unknown,Electronics,Neutral,Low,
2066,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Electronics,Positive,Low,
2067,General Experience,Browsing,Controlling impulsive purchases.,Price Concern,Better self control.,Unknown,Electronics,Neutral,Low,
2068,Pricing,Browsing,Prices are increasing.,Price Concern,Better pricing.,Unknown,Electronics,Negative,Medium,
2069,Inventory,Browsing,Product has been a tough thing to get.,Limited Information,Better product availability.,Unknown,Electronics,Negative,Medium,
2070,Offers,Browsing,Unknown,Unknown,Best discounts during festivals.,Offers,Electronics,Positive,Low,
2072,Search,Searching,Hard to find available stock.,Limited Information,Find available stock easily.,Search,Electronics,Neutral,Low,
2073,Search,Searching,Cannot find product anywhere.,Limited Information,Find product location.,Search,Electronics,Neutral,Low,
2074,Inventory,Browsing,Unclear if there is a shortage.,Limited Information,Clear inventory status.,Unknown,Electronics,Neutral,Low,
2075,Pricing,Discovery,Unknown,Unknown,Unknown,Unknown,Electronics,Positive,Low,
2077,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Electronics,Neutral,Low,
2084,Inventory,Searching,Product is out of stock.,Unknown,Available stock for electronics.,Search,Electronics,Neutral,Medium,
2085,Inventory,Searching,Product is out of stock.,Unknown,Available stock for electronics.,Search,Electronics,Neutral,Medium,
2086,Inventory,Searching,Product is out of stock.,Unknown,Available stock for electronics.,Search,Electronics,Neutral,Medium,
2087,Pricing,Browsing,Prices are slightly high.,Price Concern,Lower prices.,Unknown,Electronics,Neutral,Low,
2095,Inventory,Searching,Product availability updates are missing.,Unknown,Better inventory updates.,Unknown,Electronics,Neutral,Low,
2096,Inventory,Searching,Product is out of stock.,Unknown,Available stock for electronics.,Search,Electronics,Neutral,Medium,
2097,Inventory,Searching,Unknown,Unknown,Unknown,Unknown,Electronics,Neutral,Low,
2098,Inventory,Browsing,Unknown,Unknown,Unknown,Homepage,Electronics,Positive,Low,
2101,Inventory,Searching,Unknown,Unknown,Unknown,Unknown,Electronics,Neutral,Low,
2117,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Negative,Medium,
2119,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2120,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2121,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2124,Delivery,Discovery,Poor city infrastructure.,Unknown,Better infrastructure.,Unknown,Groceries,Negative,Medium,
2136,Inventory,Browsing,Unusual products are always in stock.,Unknown,Better inventory relevance.,Unknown,Unknown,Neutral,Low,
2139,Offers,Checkout,Unknown,Unknown,Lower free delivery threshold.,Offers,Groceries,Positive,Low,
2141,Delivery,Discovery,Traffic congestion makes stepping out difficult.,Unknown,Better city traffic.,Unknown,Groceries,Negative,Medium,
2227,General Experience,Discovery,Competitor provides better experience.,Habit,Better overall app experience.,Unknown,Groceries,Negative,Medium,
2229,General Experience,Post-Purchase,Customer support is unhelpful and relies on a poor chatbot.,Habit,Better customer support.,Unknown,Unknown,Negative,High,
2233,Delivery,Post-Purchase,Products arrived damaged with torn packets.,Trust,Better product handling during delivery.,Unknown,Snacks & Beverages,Negative,High,
2234,Inventory,Post-Purchase,Delivered items contained worms.,Trust,Quality checked products.,Unknown,Snacks & Beverages,Negative,High,
2237,General Experience,Post-Purchase,Missing and expired items received with no resolution.,Trust,Refunds for missing or expired items.,Unknown,Unknown,Negative,High,
2238,General Experience,Post-Purchase,No refunds or replacements provided for issues.,Trust,Reliable refund and replacement policy.,Unknown,Unknown,Negative,High,
2239,General Experience,Post-Purchase,Warranty claims are rejected unfairly.,Trust,Honored product warranties.,Unknown,Electronics,Negative,High,
2246,Search,Searching,Search results are too generic.,App Experience,Better search indexing.,Search,Unknown,Mixed,Medium,
2247,Search,Searching,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
2248,Pricing,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
2249,Search,Searching,Bundled offers mess up search results.,App Experience,Cleaner search results.,Search,Snacks & Beverages,Negative,Medium,
2253,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
2256,Cart,Selection,Cannot compare entire carts.,App Experience,Cart comparison feature.,Unknown,Unknown,Positive,Low,
2259,Pricing,Discovery,Fares shown are not real.,Price Concern,Accurate pricing.,Unknown,Unknown,Negative,Medium,
2261,General Experience,Discovery,Unknown,Unknown,Add food delivery platforms.,Unknown,Unknown,Positive,Low,
2263,General Experience,Discovery,Unknown,Unknown,Add more store options.,Unknown,Unknown,Positive,Low,
2264,Pricing,Checkout,Hidden add-on charges and surge pricing.,Price Concern,Track add-on charges.,Unknown,Unknown,Positive,Medium,
2267,Pricing,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
2275,Cart,Selection,Search is slow.,App Experience,Unified cart across stores.,Search,Unknown,Mixed,Medium,
2280,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
2282,Inventory,Searching,Inaccurate serviceability status for stores.,Trust,Accurate serviceability data.,Search,Unknown,Mixed,Medium,
2287,Cart,Checkout,Cart features and processing speed are lacking.,App Experience,Add more features and improve speed.,Unknown,Unknown,Negative,High,
2288,General Experience,Discovery,Unknown,Unknown,Integrate more competitor platforms.,Unknown,Unknown,Neutral,Low,
2289,General Experience,Discovery,Unknown,Unknown,Add competitors to comparison.,Unknown,Unknown,Neutral,Low,
2290,Pricing,Checkout,Final cart prices differ from itemized prices due to hidden charges.,Price Concern,Show transparent final cart pricing.,Unknown,Unknown,Negative,High,
2293,Delivery,Discovery,Stores show as not serviceable.,App Experience,Ensure accurate serviceability status.,Unknown,Unknown,Negative,Medium,
2295,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
2297,General Experience,Discovery,Unknown,Unknown,Add more retail platforms.,Unknown,Unknown,Positive,Low,
2308,Pricing,Discovery,High platform and delivery fees.,Price Concern,Reduce fees and charges.,Unknown,Unknown,Neutral,Medium,
2313,Search,Searching,Search results incorrectly show available products as out of stock.,Limited Information,Show accurate product availability.,Search,Unknown,Negative,Medium,
2315,General Experience,Discovery,Unknown,Unknown,Integrate more grocery platforms.,Unknown,Groceries,Neutral,Low,
2316,Homepage,Discovery,Store showing as not serviceable.,App Experience,Fix serviceability errors.,Homepage,Unknown,Positive,Medium,
2317,General Experience,Discovery,Unknown,Unknown,Add more competitor options.,Unknown,Groceries,Neutral,Low,
2318,General Experience,Discovery,Unknown,Unknown,Include more competitor platforms.,Unknown,Groceries,Neutral,Low,
2333,Inventory,Post-Purchase,Delivered grocery items are dirty and stored in unhygienic conditions.,Trust,Improve warehouse storage hygiene.,Unknown,Groceries,Negative,High,
2334,Inventory,Post-Purchase,Fruits and vegetables are rotten or very small for the price.,Trust,Ensure better quality fresh produce.,Unknown,Groceries,Negative,High,
2335,Categories,Browsing,Misleading organic and healthy product categorization.,Trust,Provide genuine product categorization.,Categories,Groceries,Negative,Medium,
2336,Inventory,Post-Purchase,Cafe food items have poor quality.,Trust,Improve food quality.,Unknown,Snacks & Beverages,Negative,High,
2337,Inventory,Post-Purchase,Defrosted food quality is poor.,Trust,Better food preservation.,Unknown,Snacks & Beverages,Negative,High,
2338,Offers,Discovery,Irrelevant promotional coupons for poor quality food items.,Poor Recommendations,Offer better promotions for quality items.,Offers,Snacks & Beverages,Negative,Medium,
2339,Inventory,Post-Purchase,Vegetable quality is worse compared to other quick commerce apps.,Trust,Improve vegetable quality.,Unknown,Groceries,Negative,High,
2340,General Experience,Discovery,Use competitor for regular shopping and only use Blinkit for printouts.,Habit,Use Blinkit for regular grocery shopping.,Unknown,Groceries,Neutral,Low,
2341,Categories,Browsing,Online vegetables are below average quality so prefer buying offline.,Trust,Better quality vegetables online.,Categories,Groceries,Negative,High,
2342,Inventory,Post-Purchase,Delivered grocery product had a bad smell despite valid expiry date.,Trust,Fresh and high quality products.,Unknown,Groceries,Negative,High,
2343,Categories,Browsing,All online vegetables are below average quality.,Trust,Better quality vegetables.,Categories,Groceries,Negative,High,
2345,Inventory,Post-Purchase,Certain curd brands cannot be used to make more curds.,Limited Information,Natural products that culture properly.,Unknown,Groceries,Neutral,Low,
2346,Inventory,Post-Purchase,Uncertainty about why normal curd pasteurisation kills the curd culture.,Limited Information,Clear product processing details.,Unknown,Groceries,Neutral,Low,
2348,Pricing,Browsing,Curd shelf life varies significantly between brands which may impact pricing.,Price Concern,Transparent pricing for dairy items.,Unknown,Groceries,Neutral,Low,
2349,Inventory,Browsing,Uncertainty about ingredients used in certain curd brands to extend shelf life.,Limited Information,Natural ingredients in dairy products.,Unknown,Groceries,Neutral,Low,
2350,Inventory,Browsing,Noticeable quality differences between dairy brands.,Trust,Consistent quality across all dairy brands.,Unknown,Groceries,Neutral,Low,
2351,Pricing,Browsing,Higher unit price for larger packaging of premium curd.,Price Concern,Better unit pricing on bulk sizes.,Unknown,Groceries,Neutral,Low,
2352,Inventory,Selection,Texture and taste preferences differ for regular dairy consumption.,Habit,Consistent taste for regular consumption.,Unknown,Groceries,Positive,Low,
2353,Inventory,Post-Purchase,Some curd brands make it difficult to make more curd from leftovers.,Habit,Curd that is easy to reuse for making more curd.,Unknown,Groceries,Positive,Low,
2354,Inventory,Browsing,Suspicion that other brands add preservatives for texture and longevity.,Trust,Preservative-free natural dairy products.,Unknown,Groceries,Mixed,Medium,
2355,Inventory,Browsing,Misconceptions about preservatives in specific white curd brands.,Limited Information,Accurate product composition details.,Unknown,Groceries,Neutral,Low,
2356,Inventory,Selection,Unknown,Unknown,High quality dairy products.,Unknown,Groceries,Positive,Low,
2357,Pricing,Browsing,Logistics costs might make regional products priced high in other states.,Price Concern,Affordable regional products across states.,Unknown,Groceries,Neutral,Low,
2358,Inventory,Browsing,Certain regional products are not available locally.,Lack of Awareness,Availability of regional brands across regions.,Unknown,Groceries,Neutral,Low,
2359,Inventory,Browsing,Uncertainty about additives used to make packet milk curd extremely thick.,Trust,Transparent ingredients for thick packet milk.,Unknown,Groceries,Negative,Medium,
2361,Pricing,Browsing,Pricing variations across different retail stores.,Price Concern,Competitive discounts across platforms.,Unknown,Groceries,Neutral,Low,
2362,Offers,Browsing,Owned outlets do not offer the same discounts as retail stores.,Price Concern,Better discounts on brand-owned outlets.,Offers,Groceries,Neutral,Low,
2363,Pricing,Browsing,Competitor prices are significantly lower.,Price Concern,Lower prices compared to competitors.,Unknown,Groceries,Negative,Medium,
2365,Pricing,Browsing,Unclear pricing differences across brands.,Price Concern,Clear pricing and product comparisons.,Unknown,Groceries,Neutral,Low,
2367,Inventory,Browsing,Uncertainty regarding product shelf life and preservatives.,Trust,Better product information on ingredients.,Unknown,Groceries,Neutral,Low,
2368,Inventory,Discovery,Specific regional products are hard to find.,Lack of Awareness,Better availability of regional brands.,Unknown,Groceries,Negative,Medium,
2369,Inventory,Browsing,Quantity details for products are confusing.,Limited Information,Accurate quantity and packaging details.,Unknown,Groceries,Neutral,Low,
2370,Inventory,Browsing,Product texture and quality do not meet expectations.,Trust,Better quality products.,Unknown,Groceries,Negative,Medium,
2371,Inventory,Browsing,Varying expiry dates raise quality concerns.,Trust,Clear expiry date information.,Unknown,Groceries,Neutral,Low,
2372,Recommendations,Discovery,Unknown,Unknown,Recommendations for better products.,Recommendations,Groceries,Positive,Low,
2373,Pricing,Browsing,Inaccurate quantity or pricing displayed.,Price Concern,Accurate pricing and quantity details.,Unknown,Groceries,Neutral,Low,
2378,General Experience,Discovery,Different platforms used for different shopping needs.,Habit,All shopping needs met on one platform.,Unknown,Groceries,Neutral,Medium,
2379,Pricing,Discovery,Uncertainty about hypermarket pricing.,Price Concern,Transparent pricing information.,Unknown,Groceries,Neutral,Low,
2380,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2381,Categories,Browsing,Some products are missing on the app.,Lack of Awareness,Broader product catalog for exploration.,Categories,Groceries,Positive,Low,
2382,General Experience,Discovery,Life stage changes shift shopping back to physical stores.,Habit,Better offline-to-online transition features.,Unknown,Groceries,Neutral,Low,
2385,Delivery,Discovery,Local physical stores are more convenient than delivery apps.,Habit,Faster local convenience.,Unknown,Groceries,Positive,Low,
2386,Inventory,Discovery,Unknown,Unknown,Good quality fruits and vegetables.,Unknown,Groceries,Positive,Low,
2387,Pricing,Browsing,Unknown,Unknown,Affordable pricing for produce.,Unknown,Groceries,Positive,Low,
2388,Inventory,Discovery,Different apps are needed for specialized quality items.,Habit,High quality across all categories on one app.,Unknown,Groceries,Neutral,Medium,
2389,Inventory,Browsing,Meat quality delivered is poor and smells bad.,Trust,Fresh and high-quality meat delivery.,Unknown,Groceries,Negative,High,
2390,General Experience,Discovery,Unknown,Unknown,Reliable alternative shopping apps.,Unknown,Groceries,Neutral,Low,
2391,General Experience,Discovery,Habitual buying from local shops instead of using apps.,Habit,Convenient online grocery options.,Unknown,Groceries,Neutral,Low,
2392,General Experience,Discovery,Local area lacks decent large supermarkets.,App Experience,Better local supermarket options.,Unknown,Groceries,Negative,Low,
2393,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2394,Offers,Discovery,No quick commerce usage due to competitor cashbacks.,Price Concern,Better cashbacks and offers.,Offers,Groceries,Negative,Medium,
2395,Offers,Browsing,Offline supermarkets have bad hygiene and slow billing.,Habit,Good card discounts and variety.,Offers,Groceries,Positive,Low,
2396,Cart,Browsing,Kirana counter service lacks self-service cart comparison.,Habit,Self-service cart and comparison.,Unknown,Groceries,Neutral,Low,
2397,Pricing,Selection,Prices vary across platforms requiring comparison.,Price Concern,Lower prices and retention offers.,Unknown,Groceries,Mixed,Medium,
2398,General Experience,Discovery,Unknown,Unknown,Fast delivery.,Unknown,Groceries,Positive,Low,
2400,Pricing,Selection,Eggs and fish are much costlier online.,Price Concern,Competitive pricing on perishables.,Unknown,Groceries,Mixed,Medium,
2401,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
2402,General Experience,Discovery,Relying on multiple channels for different items.,Habit,Quick online delivery for urgent items.,Unknown,Groceries,Neutral,Low,
2403,General Experience,Discovery,Fragmented shopping across different stores and apps.,Habit,Convenient multi-platform options.,Unknown,Groceries,Neutral,Low,
2404,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2405,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2406,General Experience,Discovery,Bakery items are becoming expensive lately.,Price Concern,Affordable bakery items.,Unknown,Groceries,Neutral,Low,
2407,Pricing,Discovery,Unknown,Lack of Awareness,Online grocery price transparency.,Unknown,Groceries,Neutral,Low,
2408,Categories,Browsing,Avoid buying vegetables from delivery services.,Trust,Fresh vegetable quality assurance.,Categories,Groceries,Mixed,Medium,
2409,General Experience,Discovery,Unknown,Habit,Home delivery convenience.,Unknown,Groceries,Positive,Low,
2410,General Experience,Discovery,Unknown,Habit,Customized grocery processing.,Unknown,Groceries,Neutral,Low,
2411,General Experience,Discovery,Unknown,Habit,Urgent delivery options.,Unknown,Groceries,Neutral,Low,
2412,Pricing,Browsing,Unknown,Price Concern,Lower prices compared to local vendors.,Unknown,Groceries,Positive,Low,
2413,Delivery,Delivery,Unknown,Unknown,Reliable doorstep delivery.,Unknown,Groceries,Positive,Low,
2414,General Experience,Discovery,Unknown,Habit,Local walkable store shopping.,Unknown,Groceries,Neutral,Low,
2415,Pricing,Selection,Unknown,Price Concern,Better credit card offers.,Offers,Groceries,Mixed,Medium,
2416,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2418,General Experience,Discovery,App prices are higher than local shops.,Habit,Support local kirana stores.,Unknown,Snacks & Beverages,Negative,High,
2419,Offers,Discovery,Too many needless notifications and spam.,App Experience,Fewer spam notifications.,Offers,Personal Care,Mixed,Medium,
2420,General Experience,Discovery,Unknown,Habit,In-store shopping experience.,Unknown,Groceries,Positive,Low,
2442,Pricing,Checkout,Hidden or inflated pricing on units sold.,Price Concern,Transparent pricing.,Unknown,Groceries,Negative,High,
2444,Search,Searching,UX can be optimized for uncommon products.,App Experience,Better search UX for uncommon items.,Search,Snacks & Beverages,Positive,Low,
2445,Homepage,Discovery,Service not available in specific location.,Lack of Awareness,Service availability in Mailasandra.,Homepage,Unknown,Neutral,Medium,
2446,Inventory,Browsing,Tobacco products not available on Android.,Lack of Awareness,Consistent inventory across platforms.,Categories,Unknown,Neutral,Low,
2447,Homepage,Discovery,Pincode is not serviceable.,Lack of Awareness,Pincode serviceability expansion.,Homepage,Unknown,Neutral,Medium,
2448,Pricing,Discovery,Quick commerce prices are higher than local stores.,Price Concern,Cheaper prices at local stores.,Unknown,Groceries,Negative,High,
2449,General Experience,Post-Purchase,Service issues never happened at local stores.,Trust,Reliable service like local stores.,Unknown,Unknown,Negative,Medium,
2452,Pricing,Selection,Misleading pricing and offers on essentials.,Price Concern,Accurate pricing without hidden costs.,Unknown,Household Essentials,Negative,High,
2459,Cart,Checkout,Must order more items to get free delivery.,Price Concern,Lower minimum order value for free delivery.,Unknown,Medicines,Negative,High,
2461,Checkout,Delivery,Missing items and poor customer service support.,Trust,Accurate order fulfillment and reliable support.,Offers,Unknown,Negative,High,
2463,Categories,Discovery,Local stores lack online visibility.,Lack of Awareness,Online visibility for local stores.,Categories,Groceries,Neutral,Low,
2466,Delivery,Post-Purchase,Items delivered broken and customer care refused refund.,Trust,Safe delivery and fair customer support.,Previous Orders,Groceries,Negative,High,
2471,Offers,Post-Purchase,Getting wrong free product is a hassle to return.,App Experience,Easy return process for wrong items.,Offers,Groceries,Negative,Medium,
2474,General Experience,Discovery,Prefer visiting physical shops over online shopping.,Habit,Better offline shopping alternative.,Unknown,Groceries,Neutral,Low,
2475,Checkout,Checkout,Prepaying online risks losing money on wrong orders.,Trust,Pay on delivery option.,Unknown,Unknown,Neutral,Medium,
2476,Offers,Post-Purchase,Poor customer support for incorrect promotional products.,Trust,Full refund for incorrect items.,Offers,Groceries,Negative,Medium,
2478,Offers,Discovery,Misleading promotional offers requiring manual code application.,Lack of Awareness,Clear and automatic promotional offers.,Offers,Snacks & Beverages,Negative,High,
2480,Inventory,Post-Purchase,Low quality items mixed with high quality produce.,Trust,Consistent quality in fresh produce.,Unknown,Groceries,Negative,High,
2481,Inventory,Post-Purchase,Inconsistent quality when ordering multiple packs.,Trust,Reliable quality control for fresh items.,Unknown,Groceries,Negative,Medium,
2483,Checkout,Checkout,Uncertainty of item quality before paying online.,Trust,Inspect items before payment.,Unknown,Unknown,Neutral,Medium,
2484,Checkout,Checkout,Unknown,Trust,Payment on delivery option.,Unknown,Unknown,Neutral,Low,
2487,Delivery,Delivery,Abusive delivery agent and lack of customer support.,Trust,Safer delivery and immediate customer support.,Unknown,Unknown,Negative,High,
2494,Pricing,Browsing,Paying a premium price for delivery convenience.,Price Concern,Fair pricing on items.,Unknown,Groceries,Neutral,Medium,
2495,Pricing,Browsing,Inflated commodity prices in addition to extra fees.,Price Concern,Transparent and reasonable pricing.,Unknown,Groceries,Negative,Medium,
2496,Pricing,Browsing,Lack of market price awareness inside the app ecosystem.,Price Concern,Market price benchmarking tools.,Unknown,Groceries,Negative,Low,
2497,Pricing,Checkout,Hidden costs make items more expensive overall.,Price Concern,Transparent fee display.,Unknown,Unknown,Neutral,Low,
2498,Pricing,Browsing,Online prices are significantly higher than physical stores.,Price Concern,Lower online prices matching stores.,Unknown,Snacks & Beverages,Negative,Medium,
2499,Pricing,Browsing,Most people are unaware of huge price differences.,Price Concern,Better price transparency.,Unknown,Unknown,Neutral,Low,
2500,Pricing,Browsing,Online platform quotes 50 percent higher than store price.,Price Concern,Store-equivalent pricing online.,Unknown,Snacks & Beverages,Negative,High,
2501,Pricing,Browsing,Local stores offer better prices and freebies than online.,Price Concern,Better deals and lower prices online.,Unknown,Electronics,Negative,Medium,
2502,Pricing,Browsing,Quick commerce is more expensive for fruits and vegetables.,Price Concern,Cheaper produce pricing.,Unknown,Groceries,Mixed,Medium,
2503,Pricing,Browsing,Unknown,Unknown,Standardized pricing using MRP.,Unknown,Unknown,Positive,Low,
2504,Pricing,Browsing,Prices are much higher compared to local markets.,Price Concern,Lower prices on products.,Unknown,Groceries,Negative,High,
2505,General Experience,Browsing,High prices driving users to local markets.,Price Concern,Competitive pricing.,Unknown,Groceries,Negative,High,
2507,Pricing,Browsing,Online grocery prices are double compared to local markets.,Price Concern,Affordable grocery prices.,Unknown,Groceries,Negative,High,
2508,Pricing,Browsing,Convenience fees make app purchases costly.,Price Concern,Transparent and lower pricing.,Unknown,Groceries,Neutral,Medium,
2509,General Experience,Browsing,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2510,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
2511,Delivery,Browsing,Unknown,Unknown,Better delivery options from local stores.,Unknown,Groceries,Neutral,Low,
2512,Delivery,Browsing,Unknown,Unknown,ONDC type grocery delivery.,Unknown,Groceries,Positive,Low,
2520,Pricing,Browsing,Prices vary across different localities.,Price Concern,Fair pricing across all areas.,Unknown,Groceries,Neutral,Medium,
2521,Inventory,Browsing,Vegetables are expensive on quick commerce apps.,Price Concern,Market prices for vegetables.,Unknown,Groceries,Negative,Medium,
2522,Inventory,Browsing,Local markets often lack items or good quality.,Limited Information,Reliable availability of quality items.,Unknown,Groceries,Mixed,Medium,
2523,Pricing,Browsing,Quick commerce prices are vastly higher than market prices.,Price Concern,Reasonable pricing for vegetables.,Unknown,Groceries,Negative,High,
2524,Pricing,Checkout,Hidden convenience charges inflated directly into item prices.,Price Concern,Transparent breakdown of convenience costs.,Unknown,Groceries,Negative,High,
2529,Inventory,Browsing,Quick commerce is only useful for niche unavailable items.,No Need,Better day-to-day pricing.,Unknown,Groceries,Mixed,Medium,
2539,Inventory,Post-Purchase,Received expired products and slow refund process.,Trust,Faster refunds and quality checks.,Unknown,Unknown,Negative,High,
2543,Cart,Checkout,Missing items and arbitrary order restrictions.,App Experience,Better order fulfillment and no restrictions.,Unknown,Unknown,Negative,High,
2552,Search,Searching,Difficulty finding specific items.,Lack of Awareness,Easier product search.,Search,Unknown,Neutral,Low,
2553,Search,Discovery,Unknown,Unknown,Unknown,Search,Unknown,Positive,Low,
2561,Homepage,Discovery,Push notifications use confusing language and jokes.,App Experience,Better localization in notifications.,Homepage,Unknown,Negative,Medium,
2571,Homepage,Discovery,Ads and copies use confusing Hinglish text.,App Experience,Clearer communication in marketing copies.,Homepage,Unknown,Negative,Medium,
2572,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
2574,General Experience,Discovery,App notifications sent in incorrect language.,App Experience,Notifications in preferred locale.,Unknown,Unknown,Negative,Medium,
2596,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Negative,Low,
2599,Pricing,Checkout,Hidden marginal costs leading to higher prices.,Price Concern,Transparent and lower pricing.,Unknown,Unknown,Negative,High,
2602,Inventory,Browsing,Unknown,Unknown,Storage centers in hotspots.,Unknown,Unknown,Neutral,Low,
2604,Inventory,Checkout,High transaction delays despite nearby warehouse.,App Experience,Faster delivery times.,Unknown,Unknown,Negative,High,
2605,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
2606,Inventory,Browsing,Dark store not properly set up.,App Experience,Better inventory availability.,Unknown,Unknown,Neutral,Low,
2614,Delivery,Delivery,Delayed deliveries despite nearby warehouse.,App Experience,Punctual delivery times.,Unknown,Unknown,Negative,High,
2622,Checkout,Checkout,Tipping culture adds up extra costs.,Price Concern,Fair worker pay factored in prices.,Unknown,Unknown,Negative,Medium,
2625,General Experience,Browsing,Unknown,Habit,Unknown,Unknown,Groceries,Positive,Low,
2626,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2630,General Experience,Browsing,Unknown,No Need,Unknown,Unknown,Groceries,Positive,Low,
2635,General Experience,Discovery,Unknown,No Need,Unknown,Unknown,Groceries,Neutral,Low,
2636,General Experience,Browsing,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
2637,Cart,Checkout,Minimum order limit required.,Price Concern,Lower minimum order limit.,Unknown,Groceries,Neutral,Medium,
2638,Cart,Selection,Adding extra items just to avoid delivery charges.,Price Concern,Remove delivery charges on small orders.,Previous Orders,Groceries,Neutral,Medium,
2639,Categories,Browsing,Unknown,Habit,Unknown,Categories,Snacks & Beverages,Positive,Low,
2640,Categories,Browsing,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
2641,Inventory,Browsing,Competitor lacks diverse options.,Unknown,Better product collection.,Previous Orders,Snacks & Beverages,Positive,Low,
2643,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Personal Care,Positive,Low,
2648,Pricing,Discovery,Local market folks have heavy markups.,Price Concern,Better prices than local markets.,Unknown,Groceries,Positive,Low,
2653,Categories,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
2659,Delivery,Discovery,Unknown,Unknown,Fast delivery during work hours.,Unknown,Snacks & Beverages,Positive,Low,
2660,Inventory,Browsing,Quality of fruits and vegetables requires physical checking.,Trust,Better quality fresh produce.,Unknown,Groceries,Mixed,Medium,
2662,Pricing,Discovery,Unknown,Unknown,Free delivery and better discounts.,Unknown,Groceries,Positive,Low,
2663,Inventory,Discovery,Emergency items not available in pharmacies.,Unknown,Availability of emergency medicines.,Unknown,Medicines,Positive,Low,
2664,Recommendations,Discovery,Unknown,Unknown,Better curated product lists.,Recommendations,Unknown,Positive,Low,
2665,Offers,Selection,Unknown,Unknown,Lower prices below MRP with free delivery.,Offers,Unknown,Positive,Low,
2666,Inventory,Discovery,Aggregator quality for fresh produce is bad.,Trust,Better quality fresh produce.,Unknown,Groceries,Negative,High,
2667,Cart,Selection,Forcing extra purchases for small items.,No Need,Lower minimum order requirements.,Unknown,Groceries,Negative,Medium,
2668,Categories,Discovery,Unknown,Unknown,Unknown,Unknown,Personal Care,Positive,Low,
2669,Offers,Discovery,Unknown,Unknown,More discounts on pricier items.,Offers,Household Essentials,Positive,Low,
2670,Inventory,Browsing,Delivery services sell old inventory.,Trust,Fresher produce selection.,Unknown,Groceries,Negative,Medium,
